ID,TeamSide,GroupIdx,PositionIdx,RowIdx,ColIdx,X,Y,Z,Theta_rad,Theta1_rad,Theta2_rad,Theta3_rad,Theta2Prime_rad,Theta4_rad
1,red,1,1,1,1,93.8,-71.65,294.35,-1.5707963267949,1.47073590755463,0.486372858285904,2.41253852844238,-3.98333477973938,-3.04153227806091
2,red,1,2,1,2,167.28,-71.65,294.35,-1.5707963267949,1.45637273788452,0.378517031669617,2.48321270942688,-4.05400896072388,-3.0271692276001
3,red,1,3,1,3,240.76,-71.65,294.35,-1.5707963267949,1.43722367286682,0.268811672925949,2.54251837730408,-4.11331462860107,-3.0080201625824
4,red,1,4,2,1,130.54,-185.65,294.35,1.5707963267949,1.67265391349792,0.432011902332306,2.44947457313538,-4.02027082443237,-0.101857580244541
5,red,1,5,2,2,204.02,-185.65,294.35,1.5707963267949,1.68840885162354,0.323676615953445,2.51468133926392,-4.08547782897949,-0.117612510919571
6,red,1,6,2,3,277.5,-185.65,294.35,1.5707963267949,1.70989227294922,0.211164236068726,2.56726622581482,-4.13806247711182,-0.139095887541771
7,red,2,1,1,1,93.8,-221.65,294.35,-1.5707963267949,1.72719943523407,0.492682456970215,2.40809607505798,-3.97889232635498,-3.29799580574036
8,red,2,2,1,2,167.28,-221.65,294.35,-1.5707963267949,1.74938595294952,0.385714799165726,2.4788384437561,-4.04963493347168,-3.32018232345581
9,red,2,3,1,3,240.76,-221.65,294.35,-1.5707963267949,1.77880203723907,0.277511298656464,2.53836894035339,-4.10916519165039,-3.34959840774536
10,red,2,4,2,1,130.54,-335.65,294.35,1.5707963267949,1.93194401264191,0.48323866724968,2.41473388671875,-3.98553013801575,-0.361147612333298
11,red,2,5,2,2,204.02,-335.65,294.35,1.5707963267949,1.98248696327209,0.382748007774353,2.48064804077148,-4.05144453048706,-0.411690652370453
12,red,2,6,2,3,277.5,-335.65,294.35,1.5707963267949,2.04823398590088,0.283235132694244,2.53558254241943,-4.10637903213501,-0.477437704801559
13,red,3,1,1,1,93.8,-371.65,294.35,-1.5707963267949,1.96482968330383,0.553940176963806,2.36346530914307,-3.93426156044006,-3.53562617301941
14,red,3,2,1,2,167.28,-371.65,294.35,-1.5707963267949,2.01502060890198,0.454124748706818,2.43475008010864,-4.00554656982422,-3.58581686019897
15,red,3,3,1,3,240.76,-371.65,294.35,-1.5707963267949,2.07860827445984,0.357579052448273,2.49562525749207,-4.06642150878906,-3.64940452575684
16,red,3,4,2,1,130.54,-485.65,294.35,1.5707963267949,2.14942908287048,0.585562884807587,2.33945536613464,-3.91025161743164,-0.578632652759552
17,red,3,5,2,2,204.02,-485.65,294.35,1.5707963267949,2.21757102012634,0.49534347653389,2.40621328353882,-3.97700953483582,-0.646774649620056
18,red,3,6,2,3,277.5,-485.65,294.35,1.5707963267949,2.30068492889404,0.411490619182587,2.46274447441101,-4.03354072570801,-0.729888558387756
19,red,4,1,1,1,93.8,-521.65,294.35,-1.5707963267949,2.16376543045044,0.663968801498413,2.27749085426331,-3.8482871055603,-3.73456192016602
20,red,4,2,1,2,167.28,-521.65,294.35,-1.5707963267949,2.22784686088562,0.571740448474884,2.35002565383911,-3.92082190513611,-3.7986433506012
21,red,4,3,1,3,240.76,-521.65,294.35,-1.5707963267949,2.3046715259552,0.487330287694931,2.4118664264679,-3.98266267776489,-3.87546801567078
22,red,4,4,2,1,130.54,-635.65,294.35,1.5707963267949,2.31925320625305,0.732447803020477,2.22095251083374,-3.79174876213074,-0.74845689535141
23,red,4,5,2,2,204.02,-635.65,294.35,1.5707963267949,2.39167928695679,0.648455798625946,2.29000329971313,-3.86079955101013,-0.8208829164505
24,red,4,6,2,3,277.5,-635.65,294.35,1.5707963267949,2.47537446022034,0.574712574481964,2.34776258468628,-3.91855883598328,-0.90457820892334
